order,OrigValueStr,Freq,mode
515,Rhytidoponera sp.,2,animalnotspecified
516,Rhytidoponera tasmaniensis,2,animalnotspecified
517,"Rhytidoponera tasmaniensis, Iridomyrmex purpureus",1,animalnotspecified
518,"Rhytidoponera tasmaniensis, Iridomyrmex sp.",2,animalnotspecified
519,Rhytidoponera violacea,1,animalnotspecified
520,rodents,1,animalnotspecified
521,Rodents,2,animalnotspecified
522,"rodents; varanes, turtles",1,endo
523,"rodents?, peccary?",1,
524,roe,75,animalnotspecified
525,"Rose-breasted grosbeak, downy woodpecker, red-eyed vireo, scarlet tanager, veery, cedar waxwing",2,endo
526,"Rose-breasted grosbeak, downy woodpecker, red-eyed vireo, scarlet tanager, veery, cedar waxwing ...",1,endo
527,Rousettus aegyptiacus; Lanius excubitor,1,endo
528,Ruminants,3,animalnotspecified
529,Rupicola rupicola,1,endo
530,"Rupicola rupicola, Deroptyus accipitrinus; Ateles belzebuth",1,endo
531,"Rupicola rupicola, Penelope marail; Mazama americana, M. gouazoubira; Myleus rhomboidalis",1,endo
532,Rupicola rupicola; Phrynops rufipes; Tapirus terrestris,1,endo
533,Saguinus sp.,1,endo
534,Sciurus (squirrel),1,cache
535,Sciurus (squirrels),1,cache
536,"Sciurus aureogaster, S. deppei",1,cache
537,"Sciurus sp., Dasyprocta sp.",1,cache
538,"Sciurus spadiceus, Cebus apella, Dasyprocta variegata, tayassu pecari, Proechmys spp., Oryzomys spp.",1,cache
539,"Sciurus variegatoides, Agouti paca, Dasyprocta punctata, Proechimys semispinosa",1,cache
540,seed contamination,689,
541,Seeds are produced below ground level,23,autochory
542,Seeds are produced close to ground level,1,autochory
543,Seeds drop to the ground close to or beneath the parent plant,527,autochory
544,Selenidera maculirostris,1,animalnotspecified
545,shaken fresh water,90948,autochory
546,sheep,3948,animalnotspecified
547,Sheep,1,animalnotspecified
548,sheep-dummy,172,animalnotspecified
549,"sheep, cattle, horses",1,animalnotspecified
550,shrew,22,animalnotspecified
551,"Sigmodon hispidus, 'probably' Liomys salvini",1,cache
552,Small mammals,1,cache
553,snail,51,animalnotspecified
554,song thrush,1,endo
555,"sparrow; pig, cow",1,animalnotspecified
556,speirochor,2310,
557,squirrel,106,cache
558,Squirrels,1,cache
559,"squirrels, many other herbivores; woodpeckers, nutcrackers",1,cache
560,standing fresh water,1676,autochory
561,Steartornis caripensis,1,endo
562,Steatornis (oil-bird),1,endo
563,Steatornis caripensis,5,endo
564,"Steatornis caripensis, Pipile cumanensis; Pithecia monachus, Cebus albifrons, C. apella, Ateles ...",1,endo
565,Strepera fuliginosa (black currawong),1,endo
566,Submerged in freshwater currents,3,autochory
567,Submerged in saltwater currents,1,autochory
568,"Sylvia atricapilla, S. melanocephala",2,endo
569,Tapirus bairdii,1,endo
570,Tapirus terrestris (tapir),1,animalnotspecified
571,"Tapirus terrestris, Agouti paca, Dasyprocta agouti, Proechymis ssp., Mazama spp., Sciurus ingra ...",1,animalnotspecified
572,"Tapirus terrestris, Mazama americana, M. gouazoubira, Tayassu tajacu, T. pecari, Callicebus tor ...",1,animalnotspecified
573,"Tapirus terrestris, Mazama americana, M. gouazoubira, Tayassu tajacu, T. pecari, Cebus apella,  ...",1,animalnotspecified
574,"Tapirus terrestris, Mazama americana, M. gouazoubira, Tayassu tajacu, T. pecari; Ara ararauna,  ...",1,animalnotspecified
575,"Tapirus terrestris, tayassu tajacu, Odocoileus virginicus, Mazama sp., Dasyprocta leporina, Sci ...",1,animalnotspecified
576,"Taxidea taxus, Canis latrans, Procyon lotor",1,endo
577,"Tayassu pecari, T. tajacu; Steatornis caripensis, Ramphastos swainsonii",1,animalnotspecified
