"",".","Freq"
"568","Sylvia atricapilla, S. melanocephala",2
"569","Tapirus bairdii",1
"570","Tapirus terrestris (tapir)",1
"571","Tapirus terrestris, Agouti paca, Dasyprocta agouti, Proechymis ssp., Mazama spp., Sciurus ingra ...",1
"572","Tapirus terrestris, Mazama americana, M. gouazoubira, Tayassu tajacu, T. pecari, Callicebus tor ...",1
"573","Tapirus terrestris, Mazama americana, M. gouazoubira, Tayassu tajacu, T. pecari, Cebus apella,  ...",1
"574","Tapirus terrestris, Mazama americana, M. gouazoubira, Tayassu tajacu, T. pecari; Ara ararauna,  ...",1
"575","Tapirus terrestris, tayassu tajacu, Odocoileus virginicus, Mazama sp., Dasyprocta leporina, Sci ...",1
"576","Taxidea taxus, Canis latrans, Procyon lotor",1
"577","Tayassu pecari, T. tajacu; Steatornis caripensis, Ramphastos swainsonii",1
"578","Tayassu tajacu, T. pecari",1
"579","Terrapene carolina (box turtle)",1
"580","Terrapene carolina (eastern box turtle)",1
"581","terrestrial gopher turtles",1
"582","Testudo elephantopus (tortoise)",1
"583","Thraupis aepiscopus",1
"584","tinamou",1
"585","Toucans",1
"586","toucans; monkey, kinkajou",1
"587","Trichoglossus chlorolepidotus",1
"588","trichoptera larva",37
"589","Tropidurus torquatus (lizard)",1
"590","tumbling",6
"591","Turdus merula (thrush), Sylvia atricapilla (blackcap)",1
"592","Turdus plebejus (mountain robin), Phainoptila melanoxantha (black-and-yellow silky flycatcher), ...",1
"593","Turdus viscivorus (mistle thrush)",1
"594","turtles",3
"595","unassisted",1358
"596","Unassisted",359
"597","unassisted (no morphological structures aiding dispersal)",135
"598","Unassisted and/or methods originating from parent plant",118
"599","unassisted/short-distance",35
"600","unknown",33
"601","unspecialised",326
"602","Ursu americanus floridanus; Aphelocoma coerulescens",1
"603","Ursus americanus floridanus",2
"604","Ursus americanus floridanus; Aphelocoma coerulescens",1
"605","Ursus americanus floridanus; Mimus polyglottos, Quiscalus mexicanus, Aphelocoma coerulescens, C ...",1
"606","Ursus americanus, Odocoileus virginianus, Procyon lotor; Turdus migratorius, Bombycilla cedorum",1
"607","Ursus americanus, Procyon lotor, odocoileus virginianus, O. v. clavium",1
"608","Varanus grayi",3
"609","Varanus grayi; Paradoxurus philippinensis",1
"610","vegetative dispersule",18
"611","Vegetative growth",1
"612","vertebrate",19
"613","vertebrate-dispersed (aril or fleshy fruit)",34
"614","vertebrate?",21
"615","Vertebrates",2
"616","Vertebrates (unspecified).",111
"617","Viverra malaccensis",1
"618","Vulpes vulpes (red fox)",2
"619","water",4430
"620","Water",287
"621","water?",5
"622","Water?",34
"623","Wetting by rain or dew",25
"624","wild boar",78
"625","wild cat, jaguar",1
"626","wind",3089
"627","Wind",1667
"628","Wind Animals",15
"629","wind-dispersed (with wing, hairs or bristles to provide air-resistance)",68
"630","wind?",20
"631","wind/long-distance",122
"632","yes",96
"633","Zoo",2
"634","zoochor",371
"635","zoochory",137
"636","Zoochory with elaiosomes",69
