id,refid,pred,disp,para,p_fam,p_g,p_sp,sp,a_g,a_sp,continent,log_avg_diam,log_ant_size,disp_self,disp_myrm,disp_vert,disp_wind,plant_sp,h_sp,omni_sp,hab_forest,hab_shrubland,hab_desert,hab_grassland,hab_crop,hab_urban,lform_annual,lform_perenniel,ghab_forbherb,ghab_graminoid,ghab_shrubtree,ghab_other,shape_longnarrow,shape_round,shape_sphere,shape_odd,surface_smooth,surface_middle,surface_rugous,surface_appendage,lform,ghab,shape,surface,hab,country,diam_min,diam_max,avg_diam,ant_lmin,ant_lmax,ant_size,myrm,depo,disp.prob1,pred.prob1,para.prob1,result,dispersal,diet
6231,715,0,1,0,Polygonaceae,Rumex,maritimus,Rumex maritimus,Messor,structor,Europe,0.122215878,0.698970004,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,annual,forb_herb,odd,middle,forest,Portugal,0.9,1.75,1.325,4,6,5,0,0,0.963260553,0.032209967,2.93E-06,disp,auto,plant
6233,715,0,1,0,Apiaceae,Daucus,carota,Daucus carota,Messor,barbarus,Europe,0.544068044,0.68797462,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,perennial,forb_herb,long_narrow,appendage,human,Portugal,3,4,3.5,3.75,6,4.875,0,0,0.976766192,0.011404677,0.019301625,disp,auto,plant
6270,715,0,1,0,Brassicaceae,Rapistrum,rugosum,Rapistrum rugosum,Messor,barbarus,Europe,0.301029996,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,annual,forb_herb,round,middle,human,Portugal,1.5,2.5,2,3.75,6,4.875,0,0,0.952473182,0.054041335,6.72E-05,disp,auto,plant
6282,715,0,1,0,Fabaceae,Scorpiurus,muricatus,Scorpiurus muricatus,Messor,barbarus,Europe,0.740362689,0.68797462,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,annual,forb_herb,long_narrow,smooth,human,Portugal,5,6,5.5,3.75,6,4.875,0,0,0.961460439,0.030706595,0.000426811,disp,auto,plant
6283,715,0,1,0,Fabaceae,Scorpiurus,muricatus,Scorpiurus muricatus,Messor,barbarus,Europe,0.740362689,0.68797462,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,annual,forb_herb,long_narrow,smooth,human,Portugal,5,6,5.5,3.75,6,4.875,0,0,0.961460439,0.030706595,0.000426811,disp,auto,plant
6284,715,0,1,0,Fabaceae,Scorpiurus,vermiculatus,Scorpiurus vermiculatus,Messor,barbarus,Europe,0.740362689,0.68797462,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,annual,forb_herb,long_narrow,smooth,human,Portugal,5,6,5.5,3.75,6,4.875,0,0,0.961460439,0.030706595,0.000426811,disp,auto,plant
6285,715,0,1,0,Fabaceae,Trifolium,arvense,Trifolium arvense,Messor,barbarus,Europe,-0.045757491,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,0.8,1,0.9,3.75,6,4.875,0,0,0.981985217,0.023008761,7.07E-05,disp,auto,plant
6286,715,0,1,0,Fabaceae,Trifolium,incarnatum,Trifolium incarnatum,Messor,barbarus,Europe,0.322219295,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,2,2.2,2.1,3.75,6,4.875,0,0,0.97850669,0.027085317,9.68E-05,disp,auto,plant
6287,715,0,1,0,Fabaceae,Trifolium,incarnatum,Trifolium incarnatum,Messor,barbarus,Europe,0.322219295,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,2,2.2,2.1,3.75,6,4.875,0,0,0.97850669,0.027085317,9.68E-05,disp,auto,plant
6288,715,0,1,0,Fabaceae,Trifolium,incarnatum,Trifolium incarnatum,Messor,barbarus,Europe,0.322219295,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,2,2.2,2.1,3.75,6,4.875,0,0,0.97850669,0.027085317,9.68E-05,disp,auto,plant
6289,715,0,1,0,Fabaceae,Trifolium,incarnatum,Trifolium incarnatum,Messor,barbarus,Europe,0.322219295,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,2,2.2,2.1,3.75,6,4.875,0,0,0.97850669,0.027085317,9.68E-05,disp,auto,plant
6290,715,0,1,0,Fabaceae,Trifolium,incarnatum,Trifolium incarnatum,Messor,barbarus,Europe,0.322219295,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,2,2.2,2.1,3.75,6,4.875,0,0,0.97850669,0.027085317,9.68E-05,disp,auto,plant
6291,715,0,1,0,Fabaceae,Trifolium,incarnatum,Trifolium incarnatum,Messor,barbarus,Europe,0.322219295,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,2,2.2,2.1,3.75,6,4.875,0,0,0.97850669,0.027085317,9.68E-05,disp,auto,plant
6292,715,0,1,0,Fabaceae,Trifolium,incarnatum,Trifolium incarnatum,Messor,barbarus,Europe,0.322219295,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,2,2.2,2.1,3.75,6,4.875,0,0,0.97850669,0.027085317,9.68E-05,disp,auto,plant
6293,715,0,1,0,Fabaceae,Trifolium,incarnatum,Trifolium incarnatum,Messor,barbarus,Europe,0.322219295,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,2,2.2,2.1,3.75,6,4.875,0,0,0.97850669,0.027085317,9.68E-05,disp,auto,plant
6294,715,0,1,0,Fabaceae,Trifolium,incarnatum,Trifolium incarnatum,Messor,barbarus,Europe,0.322219295,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,2,2.2,2.1,3.75,6,4.875,0,0,0.97850669,0.027085317,9.68E-05,disp,auto,plant
6295,715,0,1,0,Fabaceae,Trifolium,pratense,Trifolium pratense,Messor,barbarus,Europe,0.243038049,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,1.5,2,1.75,3.75,6,4.875,0,0,0.979306789,0.026152656,9.05E-05,disp,auto,plant
6296,715,0,1,0,Fabaceae,Trifolium,repens,Trifolium repens,Messor,barbarus,Europe,0.096910013,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,1,1.5,1.25,3.75,6,4.875,0,0,0.980707508,0.024512842,7.98E-05,disp,auto,plant
6297,715,0,1,0,Fabaceae,Trifolium,scabrum,Trifolium scabrum,Messor,barbarus,Europe,0.243038049,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,1.5,2,1.75,3.75,6,4.875,0,0,0.979306789,0.026152656,9.05E-05,disp,auto,plant
6298,715,0,1,0,Fabaceae,Trifolium,scabrum,Trifolium scabrum,Messor,barbarus,Europe,0.243038049,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,1.5,2,1.75,3.75,6,4.875,0,0,0.979306789,0.026152656,9.05E-05,disp,auto,plant
6299,715,0,1,0,Fabaceae,Trifolium,scabrum,Trifolium scabrum,Messor,barbarus,Europe,0.243038049,0.68797462,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,annual,forb_herb,sphere,smooth,human,Portugal,1.5,2,1.75,3.75,6,4.875,0,0,0.979306789,0.026152656,9.05E-05,disp,auto,plant
