No.,Species,sp,accepted.family,hemisphere,latitude,longitude,StudyLocation.filter,Country,SeedMass,SeedMass.Source,SeedReleaseHeight,SeedReleaseHeight.Source,MaximumSDD,MeanSDD,mode,E or M,GF.binary,Reference.EL
1531,Xylopia aromatica,Xylopia aromatica,Annonaceae,S,-22.2,-47.85,Estacao Experimental de Itirapina,Brazil,60,paper,6,internet (Useful Tropical Plants),3.5,0.8,ant,experiment,woody,Christianini & Oliveira 2010
1537,Crotalaria podocarpa,Crotalaria podocarpa,Fabaceae,S,-23.40646944,16.060375,farm Rooiklip (elevation 1000m),Namibia,21.3,paper,0.3,paper,19,1.763,ant,experiment,herbaceous,Fischer et al. 2015
1539,Clusia trochiformis,Clusia trochiformis,Clusiaceae,S,-16.4,-67.51666667,in the vicinity of Chulumani village in La Paz (elevation 2200m),Bolivia,300,paper,NA,NA,1,0.174,ant,experiment,woody,Gallegos et al. 2014
1540,Renealmia alpinia,Renealmia alpinia,Zingiberaceae,N,10.43333333,-83.98333333,"Estacion Biologica La Selva, Puerto Viejo de Sarapiqui, Heredia Province",Costa Rica,13.98751535,paper calculation,0.55,paper,2.3,0.7476,ant,experiment,herbaceous,García-Robledo & Kuprewicz 2009
1579,Miconia albicans,Miconia albicans,Melastomataceae,S,-18.36166667,-45.31597222,"Esta??o Ecol?gica de Pirapitinga (EEP), Brazilian Cerrado (elevation 606m)",Brazil,9,other paper,5,Moles,3.51,1.768,ant,experiment,woody,Lima et al. 2013
1580,Miconia albicans,Miconia albicans,Melastomataceae,S,-19.28944444,-43.58833333,"Serra do Cip? (Minas Gerais, southeastern Brazil), southernmost portion of the Espinha?o Mountain Range (elevation 1260m)",Brazil,9,other paper,5,Moles,1.05,0.64,ant,experiment,woody,Lima et al. 2013
1581,Miconia alborufescens,Miconia alborufescens,Melastomataceae,S,-18.36166667,-45.31597222,"Esta??o Ecol?gica de Pirapitinga (EEP), Brazilian Cerrado (elevation 606m)",Brazil,0.000307692,paper calculation,NA,NA,19.6,12.5,ant,experiment,woody,Lima et al. 2013
1582,Miconia corallina,Miconia corallina,Melastomataceae,S,-18.36166667,-45.31597222,"Esta??o Ecol?gica de Pirapitinga (EEP), Brazilian Cerrado (elevation 606m)",Brazil,0.001,paper,NA,NA,0.6,0.3,ant,experiment,woody,Lima et al. 2013
1583,Miconia ferruginata,Miconia ferruginata,Melastomataceae,S,-18.36166667,-45.31597222,"Esta??o Ecol?gica de Pirapitinga (EEP), Brazilian Cerrado (elevation 606m)",Brazil,0.00919,other paper (Mendes-Rodrigues et al. 2010),3,other paper (Mendes-Rodrigues et al. 2010),45.2,30.09,ant,experiment,woody,Lima et al. 2013
1584,Miconia ibaguensis,Miconia ibaguensis,Melastomataceae,S,-18.36166667,-45.31597222,"Esta??o Ecol?gica de Pirapitinga (EEP), Brazilian Cerrado (elevation 606m)",Brazil,0.000111111,paper calculation,NA,NA,0.61,0.6,ant,experiment,woody,Lima et al. 2013
1585,Miconia irwinii,Miconia irwinii,Melastomataceae,S,-18.36166667,-45.31597222,"Esta??o Ecol?gica de Pirapitinga (EEP), Brazilian Cerrado (elevation 606m)",Brazil,0.003666667,paper calculation,NA,NA,0.64,0.56,ant,experiment,woody,Lima et al. 2013
1602,Acacia terminalis,Acacia terminalis,Fabaceae,S,-33.8,150.4,"Greater Blue Mountains World Heritage Area, New South Wales (elevation 680-790m)",Australia,22.85,paper,6,Moles,4.2,0.276333333,ant,experiment,woody,Thomson et al. 2016
1684,Ricinus communis,Ricinus communis,Euphorbiaceae,S,-19.85,-43.95,"Ecological Station located inside the campus of the Universidade Federal de Minas Gerais, Belo Horizonte (elevation 805m)",Brazil,322.3,Kew,6,paper,17.4,4.38,ant,experiment,woody,Santo 2007
1706,Corydalis incisa,Corydalis incisa,Papaveraceae,N,28.98433611,113.8331694,"Mufushan Mountains, Hubei Province",China,1.76,paper,0.55,paper,1.33,0.446,ant,experiment,herbaceous,Zhu et al. 2018
1708,Corydalis wilfordii,Corydalis wilfordii,Papaveraceae,N,28.98433611,113.8331694,"Mufushan Mountains, Hubei Province",China,1.74,paper,0.45,paper,2,0.82,ant,experiment,herbaceous,Zhu et al. 2018
1710,Ulex minor,Ulex minor,Fabaceae,N,51.25,-0.25,southeast England,UK,5.9,paper,1.5,paper,4,NA,ant,experiment,woody,Stokes et al. 2003
1711,Stemona tuberosa,Stemona tuberosa,Stemonaceae,N,25.14086111,102.7401944,"KBG (Kunming Botanical Garden, 1894m)",China,54.84,other paper,5,Internet (http://tropical.theferns.info/viewtropical.php?id=Stemona+tuberosa),NA,1.26,ant,experiment,herbaceous,Chen et al. 2017a
1712,Stemona tuberosa,Stemona tuberosa,Stemonaceae,N,23.78711111,105.809,"FN (Funing, Yunnan Province, 1158m)",China,54.84,other paper,5,Internet (http://tropical.theferns.info/viewtropical.php?id=Stemona+tuberosa),NA,1.64,ant,experiment,herbaceous,Chen et al. 2017a
1713,Stemona tuberosa,Stemona tuberosa,Stemonaceae,N,29.11647222,107.2090278,"JFS (Jinfoshan, Chongqing Province, 728m)",China,54.84,other paper,5,Internet (http://tropical.theferns.info/viewtropical.php?id=Stemona+tuberosa),NA,1.51,ant,experiment,herbaceous,Chen et al. 2017a
1714,Stemona tuberosa,Stemona tuberosa,Stemonaceae,N,21.74908333,108.1180833,"FCG (Fangchenggang, Guangxi Province, 436m)",China,54.84,other paper,5,Internet (http://tropical.theferns.info/viewtropical.php?id=Stemona+tuberosa),NA,1.29,ant,experiment,herbaceous,Chen et al. 2017a
1812,Clusia criuva,Clusia criuva,Clusiaceae,S,-25.05,-47.88333333,"Parque Estadual da Ilha do Cardoso, Sao Paulo State (elevation 0-800m)",Brazil,22.83105023,paper,15,paper,10.1,1.987234043,ant,experiment,woody,Passos & Oliveira 2002
131,Carex pauciflora,Carex pauciflora,Cyperaceae,N,39.04472222,-79.34361111,"Dolly Sods, West Virginia",USA,0.78,paper,0.15,paper,0.61,0.457,ballistic,experiment,herbaceous,Hutton 1976
152,Ceanothus cuneatus,Ceanothus cuneatus,Rhamnaceae,N,37.99555556,-119.4430556,"central Sierra Nevada, 70km northeast of Fresno",USA,7.627794121,Kew,3.5,paper,9,NA,ballistic,experiment,woody,Evans et al. 1987
232,Ecballium elaterium,Ecballium elaterium,Cucurbitaceae,N,31.05,34.85,Israel,Israel,10.9,paper,0.3,internet,16,NA,ballistic,experiment,herbaceous,Plitmann 1986
320,Impatiens capensis,Impatiens capensis,Balsaminaceae,N,42.32694444,-71.17805556,"Hammond Woods, Newton, Massachusetts (Webster Conservation Area)",USA,10.2,other paper,1.49352,USDA,3.5,NA,ballistic,experiment,herbaceous,Primack & Miao 1992
679,Ceanothus leucodermis,Ceanothus leucodermis,Rhamnaceae,N,37.99555556,-119.4430556,"central Sierra Nevada, 70km northeast of Fresno",USA,7.6,Kew,4,paper,9,NA,ballistic,experiment,woody,Evans et al. 1987
683,Mercurialis annua,Mercurialis annua,Euphorbiaceae,N,35.2,10.48333333,"Cappuccini, 3km north of Siena (elevation 280m)",Italy,1.7,paper,0.5,paper,1.3,0.411,ballistic,experiment,herbaceous,Lisci & Pacini 1997
712,Adriana quadripartita,Adriana quadripartita,Euphorbiaceae,S,-34.78333333,138.5166667,Torrens Island,Australia,21.92,Kew,2,paper,2,0.271,ballistic,experiment,woody,Beaumont et al. 2009
713,Dendromecon harfordii,Dendromecon harfordii,Papaveraceae,N,38.53055556,-121.7616667,campus of the University of California at Davis,California,16.726,Moles,0.9,paper,5.05,3.58,ballistic,experiment,woody,Berg 1966
715,Dendromecon rigida,Dendromecon rigida,Papaveraceae,N,37.90416667,-122.5808333,"Alice Eastwood Group Camp, Marin County, California",USA,10.3,Kew,0.9,paper,4.8,2.67,ballistic,experiment,woody,Berg 1966
723,Oxalis acetosella,Oxalis acetosella,Oxalidaceae,N,59.93333333,17.41666667,Uppsala,Sweden,0.9,paper,0.15,Moles,4.52,1.6245,ballistic,experiment,herbaceous,Berg 2000
732,Viola blanda,Viola blanda,Violaceae,N,42.50805556,-71.295,"Concord Field Station, Massachusetts",USA,0.957,Moles,0.4,Moles,3.05,0.553198976,ballistic,experiment,herbaceous,Bülow-Olsen 1984
733,Viola fimbriatula,Viola sagittata,Violaceae,N,42.50805556,-71.295,"Concord Field Station, Massachusetts",USA,0.568,Moles,0.15,internet,2.85,0.650492161,ballistic,experiment,herbaceous,Bülow-Olsen 1984
735,Viola lanceolata,Viola lanceolata,Violaceae,N,42.50805556,-71.295,"Concord Field Station, Massachusetts",USA,NA,NA,0.17,Moles,2.35,0.446481723,ballistic,experiment,herbaceous,Bülow-Olsen 1984
785,Viola pedata,Viola pedata,Violaceae,N,37.91666667,-80.26666667,"Monongahela National Forest, Greenbrier County, Virginia (elevation 700m)",USA,0.929,Moles,0.15,Moles,5.1,1.4,ballistic,experiment,herbaceous,Culver & Beattie 1978
787,Viola pensylvanica,Viola pubescens,Violaceae,N,37.91666667,-80.26666667,"Monongahela National Forest, Greenbrier County, Virginia (elevation 700m)",USA,2.43,Moles,0.3,net estimat,5.4,1.2,ballistic,experiment,herbaceous,Culver & Beattie 1978
789,Viola rostrata,Viola rostrata,Violaceae,N,37.91666667,-80.26666667,"Monongahela National Forest, Greenbrier County, Virginia (elevation 700m)",USA,NA,NA,0.25,Moles,4.2,1.2,ballistic,experiment,herbaceous,Culver & Beattie 1978
810,Vicia sativa,Vicia sativa,Fabaceae,N,34.36472222,-89.53833333,University of Mississippi,USA,12.8,paper,0.8,paper,9,3.4,ballistic,experiment,herbaceous,Garrison et al. 2000
823,Euphorbia exigua,Euphorbia exigua,Euphorbiaceae,N,40.12083333,9.012777778,Sardinia,Italy,0.433,Moles,0.08,paper mean,NA,0.105,ballistic,experiment,herbaceous,Guarino et al. 2005
825,Tuberaria guttata,Tuberaria guttata,Cistaceae,N,40.12083333,9.012777778,Sardinia,Italy,0.059763633,Kew,0.15,paper mean,NA,0.072,ballistic,experiment,herbaceous,Guarino et al. 2005
826,Arceuthobium vaginalum,Arceuthobium vaginalum,Santalaceae,N,40.5675,-105.0808333,"Rocky Mountain Forest and Range Experiment Station, Fort Collins, Colorado",USA,2.4,paper,NA,NA,12.8,5.3,ballistic,experiment,woody,Hawksworth 1959
830,Geranium purpureum,Geranium purpureum,Geraniaceae,N,37.04277778,-6.434444444,Do?ana National Park,Spain,1.87,Kew,0.5,Moles,1.6,0.52308284,ballistic,experiment,herbaceous,Herrera 1991
921,Phlox pilosa,Phlox pilosa,Polemoniaceae,N,41.73777778,-87.6975,"Lansing, Cook County, Illinois",USA,2.53,Kew,0.6,Moles,3.6,1.12,ballistic,experiment,herbaceous,Levin & Kerster 1968
944,Ulex parviflorus,Ulex parviflorus,Fabaceae,N,44.7,2.8,Desert de les Palmes,Spain,4.17,Moles,1.5,paper,2.01,0.93737604,ballistic,experiment,woody,López-Vila & García-Fayos 2005
954,Cytisus scoparius,Cytisus scoparius,Fabaceae,N,40.82472222,-3.744583333,Miraflores de la Sierra (Madrid) and Bustarviejo (Madrid),Spain,8.505521506,Moles,2.5,Moles,7.25,2.343,ballistic,experiment,woody,Malo 2004
996,Euphorbia baetica,Euphorbia baetica,Euphorbiaceae,N,37.54444444,-4.733333333,western Andalusia,Spain,4.865306799,paper,0.5,paper,8,1.749,ballistic,experiment,woody,Narbona et al. 2005
997,Euphorbia nicaeensis,Euphorbia nicaeensis,Euphorbiaceae,N,37.54444444,-4.733333333,western Andalusia,Spain,2.88,paper,0.6,paper,5,1.488,ballistic,experiment,woody,Narbona et al. 2005
1002,Viola selkirkii,Viola selkirkii,Violaceae,N,43.05,141.5,Nopporo Forest Park,Japan,0.61,paper,0.15,Moles,1.075,0.383,ballistic,experiment,herbaceous,Ohkawara & Higashi 1994
1004,Viola verecunda,Viola arcuata,Violaceae,N,42.96666667,141.1722222,Spa Jozankei of Hokkaido,Japan,0.42,paper,0.3,net estimat,1.225,0.56,ballistic,experiment,herbaceous,Ohkawara & Higashi 1994
1010,Croton priscus,Croton priscus,Euphorbiaceae,S,-22.78333333,-49.11666667,Santa Genebra Reserve,Brazil,160.5142958,paper,20,paper,12,3.29,ballistic,experiment,woody,Passos & Ferreira 1996
1058,Lupinus texensis,Lupinus texensis,Fabaceae,N,31.96861111,-99.90194444,central Texas,USA,32.88233333,Moles,0.5,internet (wikipedia),3.4,0.58,ballistic,experiment,herbaceous,Schaal 1980
1064,Impatiens capensis,Impatiens capensis,Balsaminaceae,N,41.72583333,-71.31111111,"Brown University's Haffenreffer Reserve (Bristol Co., Rhode Island)",USA,10.2,other paper,1.49352,USDA,2.2,0.406,ballistic,experiment,herbaceous,Schmitt et al. 1985
1103,Cnidoscolus stimulosus,Cnidoscolus urens,Euphorbiaceae,N,29.8,-82.06666667,"Gold Head Branch State Park, Florida",USA,54.5,paper,0.6,Moles,1.15,0.62,ballistic,experiment,herbaceous,Stamp & Lucas 1990
1105,Crotalaria rotundifolia,Crotalaria rotundifolia,Fabaceae,N,29.8,-82.06666667,"Gold Head Branch State Park, Florida",USA,3.4,paper,0.4,Moles,2.39,0.94,ballistic,experiment,herbaceous,Stamp & Lucas 1990
1107,Stillingia sylvatica,Stillingia sylvatica,Euphorbiaceae,N,29.8,-82.06666667,"Gold Head Branch State Park, Florida",USA,40.2,paper,0.7,internet (wikipedia),3,1.08,ballistic,experiment,herbaceous,Stamp & Lucas 1990
1109,Erodium moschatum,Erodium moschatum,Geraniaceae,N,38.53833333,-121.7616667,campus of the University of California at Davis,USA,1.65,paper,0.6,Moles,0.857,0.556,ballistic,experiment,herbaceous,Stamp 1989a
1111,Erodium botrys,Erodium botrys,Geraniaceae,N,38.58888889,-121.3027778,"Rancho Cordova, Sacramento County, California",USA,5.6,paper,0.24,USDA,NA,0.762,ballistic,experiment,herbaceous,Stamp 1989b
1112,Erodium brachycarpum,Erodium brachycarpum,Geraniaceae,N,38.58888889,-121.3027778,"Rancho Cordova, Sacramento County, California",USA,3.07,paper,0.5,internet (wikipedia),NA,0.749,ballistic,experiment,herbaceous,Stamp 1989b
1113,Erodium cicutarium,Erodium cicutarium,Geraniaceae,N,38.58888889,-121.3027778,"Rancho Cordova, Sacramento County, California",USA,1.46,paper,0.6,Moles,NA,0.542,ballistic,experiment,herbaceous,Stamp 1989b
1114,Erodium moschatum,Erodium moschatum,Geraniaceae,N,38.58888889,-121.3027778,"Rancho Cordova, Sacramento County, California",USA,1.65,paper,0.6,Moles,NA,0.54,ballistic,experiment,herbaceous,Stamp 1989b
1115,Geranium carolinianum,Geranium carolinianum,Geraniaceae,N,29.65166667,-82.325,"Gainesville, Florida",USA,3.5,paper,0.6,Moles,4.6,3.287,ballistic,experiment,herbaceous,Stamp & Lucas 1983
1116,Geranium maculatum,Geranium maculatum,Geraniaceae,N,38.91805556,-78.19444444,"Front Royal, Virginia",USA,6,paper,0.55,Moles,5,3.021,ballistic,experiment,herbaceous,Stamp & Lucas 1983
1117,Geranium molle,Geranium molle,Geraniaceae,N,38.91805556,-78.19444444,"Front Royal, Virginia",USA,1.1,paper,0.5,Moles,3,1.785,ballistic,experiment,herbaceous,Stamp & Lucas 1983
1118,Impatiens capensis,Impatiens capensis,Balsaminaceae,N,38.91805556,-78.19444444,"Front Royal, Virginia",USA,10.2,paper,1.49352,USDA,1.8,0.235,ballistic,experiment,herbaceous,Stamp & Lucas 1983
1119,Phlox drummondii,Phlox drummondii,Polemoniaceae,N,29.65166667,-82.325,"Gainesville, Florida",USA,1.7,paper,0.5,Moles,1.6,0.775,ballistic,experiment,herbaceous,Stamp & Lucas 1983
1120,Viola striata,Viola striata,Violaceae,N,40.19166667,-79.2425,"Rector, Pennsylvania",USA,1.1,paper,0.3,Moles,3.4,0.785,ballistic,experiment,herbaceous,Stamp & Lucas 1983
1167,Cardamine resedifolia,Cardamine resedifolia,Brassicaceae,N,46.40111111,9.927222222,Morteratsch glacier,Switzerland,NA,NA,0.15,other paper,0.5,NA,ballistic,experiment,herbaceous,Stöcklin & Bäumler 1996
1195,Hura crepitans,Hura crepitans,Euphorbiaceae,N,5.65,-0.196111111,University of Ghana,"Legon, Ghana",1020,paper,60,paper,45,4.541547278,ballistic,experiment,woody,Swaine & Beer 1977
1199,Lepidium campestre,Lepidium campestre,Brassicaceae,N,42.40555556,-85.40083333,"Kellogg Biological Station of Michigan State University, Kalamazoo County, Michigan",USA,2.169,Kew,0.6,Moles,2,0.905506678,ballistic,experiment,herbaceous,Thiede & Augspurger 1996
1200,Amphicarpaea bracteata,Amphicarpaea bracteata,Fabaceae,N,41.78333333,-91.57055556,"MacBride Nature Recreation Area, Johnson County, Iowa",USA,7,paper,1.8,paper,4.25,NA,ballistic,experiment,herbaceous,Trapp 1988
1207,Tetraberlinia moreliana,Tetraberlinia moreliana,Fabaceae,S,-1.916666667,9.85,"Rabi, Gabon",Gabon,2530,paper,51,paper,60,NA,ballistic,experiment,woody,Van Der Burgt 1997
1302,Jatropha hieronymi,Jatropha hieronymi,Euphorbiaceae,S,-29.23333333,-66.8,"Juan Caro, La Rioja province (750m a.s.l.)",Argentina,511.7,paper,3,paper,17.62,6.91,ballistic,experiment,woody,Rickert & Fracchia 2010
1304,Jatropha excisa,Jatropha excisa,Euphorbiaceae,S,-28.9,-66.65,"Anillaco, La Rioja province (750m a.s.l.)",Argentina,60.7,paper,1.5,paper,7.65,1.97,ballistic,experiment,woody,Rickert & Fracchia 2010
1306,Cnidoscolus quercifolius,Cnidoscolus quercifolius,Euphorbiaceae,S,-9.6,-37.8,"Xingo, located along the valley of the Sao Francisco river",Brazil,1064.124925,paper calculation,8,internet (Useful Tropical Plants),NA,0.442,ballistic,experiment,woody,Leal et al. 2007
1307,Cnidoscolus urens,Cnidoscolus urens,Euphorbiaceae,S,-9.6,-37.8,"Xingo, located along the valley of the Sao Francisco river",Brazil,54.5,other paper,NA,NA,NA,0.128,ballistic,experiment,woody,Leal et al. 2007
1308,Croton campestris,Croton campestris,Euphorbiaceae,S,-9.6,-37.8,"Xingo, located along the valley of the Sao Francisco river",Brazil,39.44759354,paper calculation,NA,NA,NA,0.136,ballistic,experiment,woody,Leal et al. 2007
1309,Jatropha gossypiifolia,Jatropha gossypiifolia,Euphorbiaceae,S,-9.6,-37.8,"Xingo, located along the valley of the Sao Francisco river",Brazil,181.1345096,paper calculation,3,internet (Useful Tropical Plants),NA,0.149,ballistic,experiment,woody,Leal et al. 2007
1310,Jatropha mollissima,Jatropha mollissima,Euphorbiaceae,S,-9.6,-37.8,"Xingo, located along the valley of the Sao Francisco river",Brazil,758.0072355,paper calculation,3,other paper,NA,0.388,ballistic,experiment,woody,Leal et al. 2007
1311,Jatropha ribifolia,Jatropha ribifolia,Euphorbiaceae,S,-9.6,-37.8,"Xingo, located along the valley of the Sao Francisco river",Brazil,160.5142958,paper calculation,NA,NA,NA,0.15,ballistic,experiment,woody,Leal et al. 2007
1312,Manihot glaziovii,Manihot glaziovii,Euphorbiaceae,S,-9.6,-37.8,"Xingo, located along the valley of the Sao Francisco river",Brazil,645.1,Kew,6,internet,NA,0.3207,ballistic,experiment,woody,Leal et al. 2007
1332,Euphorbia medicaginea,Euphorbia medicaginea,Euphorbiaceae,N,41.59111111,1.520833333,Catalonia,Spain,1.3,Kew,NA,NA,2,0.3,ballistic,experiment,herbaceous,Baiges et al. 1991
1333,Cytisus multiflorus,Cytisus multiflorus,Fabaceae,N,41.00833333,-6.436944444,"Vitigudino, Salamanca",Spain,5,Kew,4,internet (wikipedia),3.7,0.828415574,ballistic,experiment,woody,Marcos et al. 1992
1334,Cytisus scoparius,Cytisus scoparius,Fabaceae,N,41.21305556,-124.0047222,"Redwood National Park, California (elevation 1000m)",USA,8.505521506,Moles,2.5,Moles,5,1,ballistic,experiment,woody,Bossard 1991
1337,Erodium cicutarium,Erodium cicutarium,Geraniaceae,N,37.87166667,-122.2727778,"Merced, Davis and Berkeley, CA",USA,1.409685714,LEDA,0.6,Moles,0.85,0.51,ballistic,experiment,herbaceous,Evangelista et al. 2011
1338,Cardamine hirsuta,Cardamine hirsuta,Brassicaceae,N,34.68333333,-82.83333333,"Clemson, SC",USA,0.11,other paper,0.2,paper,5,0.50038,ballistic,experiment,herbaceous,Bachman & Whitwell 1995
1339,Impatiens capensis,Impatiens capensis,Balsaminaceae,N,42.29666667,-71.2925,"Wellesley, MA",USA,10.7,paper,1.1,paper,1.8,0.44,ballistic,model,herbaceous,Hayashi et al. 2009
1340,Cardamine parviflora,Cardamine parviflora,Brassicaceae,N,42.29361111,-71.30583333,"Wellesley, MA",USA,0.15,paper,0.189,paper,1.9,0.94,ballistic,experiment,herbaceous,Hayashi et al. 2010
1476,Hevea brasiliensis,Hevea brasiliensis,Euphorbiaceae,N,21.9525,101.2261111,Xishuangbanna National Nature Reserve,China,4750,paper,40,paper,15,NA,ballistic,experiment,woody,Zhou et al. 2015
1484,Glycine soja,Glycine soja,Fabaceae,N,36.026954,140.11031,"National Institute for Agro-Environmental Sciences (NIAES),Tsukuba, Ibaraki Prefecture",Japan,18.6,paper,1.8,paper,7,1.419545543,ballistic,experiment,herbaceous,Yoshimura et al. 2011
1507,Dorycnium pentaphyllum,Dorycnium pentaphyllum,Fabaceae,N,41.65,1.85,"Castellbel i el Vilar, Barcelona (elevation 260m)",Spain,3.2,paper,1.5,paper,10.5,0.775,ballistic,experiment,woody,Arnan et al. 2011
1536,Crotalaria podocarpa,Crotalaria podocarpa,Fabaceae,S,-23.40646944,16.060375,farm Rooiklip (elevation 1000m),Namibia,21.3,paper,0.3,paper,4.117,2.184,ballistic,experiment,herbaceous,Fischer et al. 2015
1546,Erodium cicutarium,Erodium cicutarium,Geraniaceae,N,38.8246,-122.3438,"UC McLaughlin Reserve, Northern California",USA,1.409685714,LEDA,0.6,Moles,0.6,0.378141071,ballistic,experiment,herbaceous,Jacobs & Lesmeister 2012
1606,Amphicarpaea edgeworthii,Amphicarpaea edgeworthii,Fabaceae,N,39.99179444,116.2097861,"Fragrant Hill, Beijing (elevation 128m)",China,38.52,paper,1.5,paper,2.63,0.767,ballistic,experiment,herbaceous,Zhang et al. 2015
1608,Microberlinia bisulcata,Microberlinia bisulcata,Fabaceae,N,5.166666667,8.833333333,Korup National Park (elevation 100m),Cameroon,640,paper,44,paper,100,23.45,ballistic,model,woody,Norghauer & Newbery 2015
1610,Tetraberlinia bifoliolata,Tetraberlinia bifoliolata,Fabaceae,N,5.166666667,8.833333333,Korup National Park (elevation 100m),Cameroon,1570,paper,48,paper,50,NA,ballistic,model,woody,Norghauer & Newbery 2015
1630,Oxalis corniculata,Oxalis corniculata,Oxalidaceae,S,-37.7,145.1333333,"a domestic garden in Eltham, Victoria",Australia,0.15,paper,0.5,LEDA,1.7,0.86,ballistic,experiment,herbaceous,Rezvani et al. 2010
1682,Cassia fasciculata,Cassia fasciculata,Fabaceae,N,40.40061944,-89.87857778,"Sandridge State Forest, Mason County, Illinoi",USA,8,Kew,0.1,paper,4.78,1.81,ballistic,experiment,herbaceous,Lee 1984
1683,Ricinus communis,Ricinus communis,Euphorbiaceae,S,-19.85,-43.95,"Ecological Station located inside the campus of the Universidade Federal de Minas Gerais, Belo Horizonte (elevation 805m)",Brazil,322.3,Kew,6,paper,10.5,7.27,ballistic,experiment,woody,Santo 2007
1685,Ricinus communis,Ricinus communis,Euphorbiaceae,S,-19.85,-43.95,"Ecological Station located inside the campus of the Universidade Federal de Minas Gerais, Belo Horizonte (elevation 805m)",Brazil,322.3,Kew,6,paper,20.2,8.66,ballistic,experiment,woody,Santo 2007
1705,Corydalis incisa,Corydalis incisa,Papaveraceae,N,28.98433611,113.8331694,"Mufushan Mountains, Hubei Province",China,1.76,paper,0.55,paper,3.5,0.72,ballistic,experiment,herbaceous,Zhu et al. 2018
1707,Corydalis wilfordii,Corydalis wilfordii,Papaveraceae,N,28.98433611,113.8331694,"Mufushan Mountains, Hubei Province",China,1.74,paper,0.45,paper,0.4,0.0944,ballistic,experiment,herbaceous,Zhu et al. 2018
1709,Ulex minor,Ulex minor,Fabaceae,N,51.25,-0.25,southeast England,UK,5.9,paper,1.5,paper,1.95,0.184,ballistic,experiment,woody,Stokes et al. 2003
1719,Ruellia ciliatiflora,Ruellia ciliatiflora,Acanthaceae,N,34.11061389,-117.71475,"Rancho Santa Ana Botanic Garden, Claremont, CA",USA,1.7,paper,1.5,paper,7,NA,ballistic,experiment,herbaceous,Cooper et al. 2018
1785,Illicium anisatum,Illicium anisatum,Schisandraceae,N,36.00694444,140.1330556,"arboretum of the Forestry and Forest Products Research Institute, Tsukuba",Japan,54.81263298,paper calculation,8,paper,6,3.15,ballistic,experiment,woody,Yoshikawa et al. 2018
1810,Pentaclethra macrophylla,Pentaclethra macrophylla,Fabaceae,N,0.218963889,12.71351111,"Ipassa Research Station, Ogooue-Ivindo (Ivindo National Park)",Gabon,29400,paper,30,paper,20,NA,ballistic,experiment,woody,Rosin & Poulsen 2017
31,Achyranthes aspera,Achyranthes aspera,Amaranthaceae,N,10.34516667,-85.33875556,"Palo Verde Field Station, Guanacaste Province",Costa Rica,3.72,paper,0.7,paper,180,34.4,vertebrate,experiment,herbaceous,Bullock & Primack 1977
49,Andira inermis,Andira inermis,Fabaceae,N,10.3275,-85.09333333,"Finca Taboga, 10 km south of Ca?as, Guanacaste Province",Costa Rica,1125,paper,25,paper,165,51.91423722,vertebrate,experiment,woody,Janzen et al. 1976
50,Andira inermis,Andira inermis,Fabaceae,N,10.5,-85.09333333,"Rio Corobici, 7 km north of Ca?as, Guanacaste Province",Costa Rica,1130,paper,15,paper,207,3.377800202,vertebrate,experiment,woody,Janzen et al. 1976
97,Bidens sp.,Bidens sp.,Asteraceae,N,10.34516667,-85.33875556,"Palo Verde Field Station, Guanacaste Province",Costa Rica,NA,NA,0.4,paper,250,108.8,vertebrate,experiment,herbaceous,Bullock & Primack 1977
147,Casearia corymbosa,Casearia corymbosa,Salicaceae,N,10.41666667,-83.98333333,"Finca La Selva, Provincia de Heredia",Costa Rica,160.5142958,paper calculation,7.5,internet (Flora of BCI),200,NA,vertebrate,experiment,woody,Howe 1977
153,Cecropia obtusifolia,Cecropia obtusifolia,Urticaceae,N,18.58333333,-95.11666667,Los Tuxtlas Biological Station,Mexico,0.7,paper,10,internet (Flora of BCI),86,NA,vertebrate,experiment,woody,Alvarez-Buylla & Martinez-Ramos 1990
206,Cornus controversa,Cornus controversa,Cornaceae,N,36.93333333,140.5833333,"Ogawa Forest Reserve (OFR) in Kitaibaraki, Ibaraki",Japan,44,paper,27.5,paper mean,172,16.01,vertebrate,experiment,woody,Masaki et al. 1994; Yamazaki et al. 2016
217,Cymbopetalum baillonii,Cymbopetalum baillonii,Annonaceae,N,18.56666667,-95.06666667,Los Tuxtlas Biological Station,Mexico,333.5,paper,NA,NA,30,NA,vertebrate,experiment,woody,Coates-Estrada & Estrada 1988
329,Juglans nigra,Juglans nigra,Juglandaceae,N,39.11694444,-96.60583333,"McDowell Creek, Manhattan, Kansas",USA,11303,paper,30,paper,151,NA,vertebrate,experiment,woody,Stapanian & Smith 1986
382,Macrozamia riedlei,Macrozamia riedlei,Zamiaceae,S,-32.16666667,115.8333333,"University of
Western Australia Marsupial Breeding Station, Perth",Asutralia,40000,paper,0.3,PlantNET,24,1.66,vertebrate,experiment,woody,Burbidge & Whelan 1982
392,Muntingia calabura,Muntingia calabura,Muntingiaceae,N,10.45055556,-85.12777778,"Hacienda La Pacifica, Guanacaste",Costa Rica,0.2,paper,12,internet (Useful Tropical Plants),15,NA,vertebrate,experiment,woody,Thomas et al. 1988
