source,site_id,lat,long,family,genus,species,sp,mode,color_desc,habit,fruit_length
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Sibbaldia,procumbens,Sibbaldia procumbens,endo,unknown,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,chamaemorus,Rubus chamaemorus,endo,yellow,herb,4.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,pubescens,Rubus pubescens,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,arcticus,Rubus arcticus,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,acaulis,Rubus acaulis,endo,red,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,odoratus,Rubus odoratus,endo,red,shrub,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,illecebrosus,Rubus illecebrosus,endo,red,herb,25
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,flagellaris,Rubus flagellaris,endo,black,shrub,12.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,flagellaris var. strigosus,Rubus flagellaris var. strigosus,endo,yellow,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,flagellaris var caudatus,Rubus flagellaris var caudatus,endo,unknown,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,felix,Rubus felix,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,tetricus,Rubus tetricus,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,arenicola,Rubus arenicola,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,recurvicaulis,Rubus recurvicaulis,endo,black,shrub,12.5
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,plicatifolius,Rubus plicatifolius,endo,black,,NA
"Gray's Manual of Botany, eighth edition",MAINE,45.37984562,-69.22915046,Rosaceae,Rubus,hispidus,Rubus hispidus,endo,black,shrub,NA
