sp,Growth form,Dispersal unit,Dispersal adaptation,Notes on propagule and dispersal in NZ,Notes on propagule and dispersal overseas,Primary mode,other mode,third mode,,mode
Celmisia bellidioides,herb,cypsela,pappate,"""   "", cypsela ribbed, long-haired, usually eglandular",,wind,,,,wind
Celmisia brevifolia,herb,cypsela,pappate,"""   "", ""   """,,wind,,,,wind
Celmisia clavata,herb,cypsela,pappate,"""   "", no detail on cypsela",,wind,,,,wind
Celmisia cockayneana,herb,cypsela,pappate,"""   "", cypsela ribbed, long-haired, usually eglandular",,wind,,,,wind
Celmisia cordatifolia,herb,cypsela,pappate,"""   "", No detail on cypsela",,wind,,,,wind
Celmisia coriacea,herb,cypsela,pappate,,,wind,,,,wind
Celmisia dallii,herb,cypsela,pappate,"""   "", ""   """,,wind,,,,wind
Celmisia densiflora,herb,cypsela,pappate,"""   "", cypsela ribbed, long-haired, usually eglandular",,wind,,,,wind
Celmisia gibbsii,herb,cypsela,pappate,bifid hairs,,wind,,,,wind
Celmisia glandulosa,herb,cypsela,pappate,"""   "", cypsela ribbed, short-haired, usually eglandular",,wind,,,,wind
Celmisia gracilenta,herb,cypsela,pappate,"""   "", ""   """,,wind,,,,wind
Celmisia haastii,herb,cypsela,pappate,"""   "", ""   """,,wind,,,,wind
Celmisia hectorii,herb,cypsela,pappate,bifid hairs,,wind,,,,wind
Celmisia hieraciifolia,herb,cypsela,pappate,"""   "", cypsela ribbed, long-haired, usually eglandular",,wind,,,,wind
Celmisia holosericea,herb,cypsela,pappate,"""   "", cypsela strongly compressed, glandular, with",,wind,,,,wind
Celmisia hookeri,herb,cypsela,pappate,"""   "", cypsela ribbed, glabrous",,wind,,,,wind
Celmisia inaccessa,herb,cypsela,pappate,"""   "", no detail on cypsela",,wind,,,,wind
Celmisia incana,herb,cypsela,pappate,"""   "", cypsela strongly compressed, glandular, with",,wind,,,,wind
Celmisia laricifolia,herb,cypsela,pappate,"""   "", ""   """,,wind,,,,wind
Celmisia lateralis,herb,cypsela,pappate,"""   "", cypsela strongly compressed, glandular, with",,wind,,,,wind
Celmisia lindsayi,herb,cypsela,pappate,"""   "", cypsela ribbed, long-haired, usually eglandular",,wind,,,,wind
Celmisia lyallii,herb,cypsela,pappate,"""   "", cypsela strongly compressed, glandular, with",,wind,,,,wind
Celmisia mackaui,herb,cypsela,pappate,"""   "", cypsela ribbed, glabrous",,wind,,,,wind
Celmisia macmahonii,herb,cypsela,pappate,"""   "", no detail on cypsela",,wind,,,,wind
Celmisia markii,herb,cypsela,pappate,bifid hairs,,wind,,,,wind
Celmisia monroi,herb,cypsela,pappate,"""   "", cypsela ribbed, glabrous",,wind,,,,wind
Celmisia parva,herb,cypsela,pappate,"""   "", no detail on cypsela",,wind,,,,wind
Celmisia petriei,herb,cypsela,pappate,hairs,,wind,,,,wind
Celmisia philocremna,herb,cypsela,pappate,"""   "", no detail on cypsela",,wind,,,,wind
Celmisia polyvena,herb,cypsela,pappate,"""   "", cypsela strongly compressed, glandular, with",,wind,,,,wind
Celmisia ramulosa,herb,cypsela,pappate,"""   "", ""   """,,wind,,,,wind
Celmisia rupestris,herb,cypsela,pappate,"""   "", no detail on cypsela",,wind,,,,wind
Celmisia rutlandii,herb,cypsela,pappate,"""   "", ""   """,,wind,,,,wind
Celmisia sessiliflora,herb,cypsela,pappate,"""   "", cypsela strongly compressed, glandular, with",,wind,,,,wind
Celmisia similis,herb,cypsela,pappate,"""   "", no detail on cypsela",,wind,,,,wind
Celmisia sinclairii,herb,cypsela,pappate,bifid hairs,,wind,,,,wind
Celmisia spectabilis,herb,cypsela,pappate,"""   "", cypsela ribbed, glabrous",,wind,,,,wind
Celmisia spedenii,herb,cypsela,pappate,"""   "", ""   """,,wind,,,,wind
Celmisia thomsonii,herb,cypsela,pappate,"""   "", cypsela variable",,wind,,,,wind
Celmisia traversii,herb,cypsela,pappate,"""   "", cypsela ribbed, glabrous",,wind,,,,wind
Celmisia verbascifolia,herb,cypsela,pappate,bifid hairs,,wind,,,,wind
Celmisia vespertina,herb,cypsela,pappate,"""   "", no detail on cypsela",,wind,,,,wind
Celmisia viscosa,herb,cypsela,pappate,"""   "", cypsela ribbed, long-haired, usually eglandular",,wind,,,,wind
Celmisia walkeri,herb,cypsela,pappate,"""   "", ""   """,,wind,,,,wind
Cenchrus caliculatus,herb,floret,spines,,,attachment,wind,,,attach
Centella uniflora,herb,schizocarp,,"glabrous, or with scattered fine hairs",",",water,wind,,,water
Centipeda aotearoana,herb,cypsela,hairy,"matures in C. minima & C. elatinoides, less immediate",granivory ,water,attachment,granivory,,water
Centipeda cunninghamii,herb,cypsela,,"""   ""","""   """,water,attachment,granivory,,water
Centipeda elatinoides,herb,cypsela,,"""   ""","""   """,water,attachment,granivory,,water
Centipeda minima,herb,cypsela,hairy,"""   ""","""   """,water,attachment,granivory,,water
Centrolepis ciliata,herb,seed,,"endosperm, testa thin . Elongating",,water,capsule,,,water
Centrolepis minima,herb,seed,,"""   """,,water,capsule,,,water
Centrolepis pallida,herb,seed,,"""   """,,water,capsule,,,water
Centrolepis strigosa,herb,seed,,"""   """,,water,capsule,,,water
Ceratocephala pungens,herb,achene,spines,achene with sharp spine. See ,attachment ,attachment,granivory,fruit,,attach
Chaerophyllum  ,herb,mericarp,hairy,"""   ""","""   """,wind,attachment,,,wind
Chaerophyllum  ,herb,mericarp,hairy,"""   ""","""   """,wind,attachment,,,wind
Chaerophyllum basicola,herb,mericarp,hairy,"""   ""","""   """,wind,attachment,,,wind
Chaerophyllum colensoi agg.,herb,mericarp,hairy,"""   ""","""   """,wind,attachment,,,wind
Chaerophyllum ramosa,herb,mericarp,hairy,"""   ""","""   """,wind,attachment,,,wind
Chaerophyllum rigida,herb,mericarp,hairy,"""   ""","""   """,wind,attachment,,,wind
Cheilanthes distans,fern,spore,minute,"""   """,allowing reproduction,wind,,,,wind
Cheilanthes sieberi,fern,spore,minute,"""   ""","""   """,wind,,,,wind
Chenopodium detestans,herb,seed,"pericarp may be persistent, seed glossy, compressed",.,wind,water,fruit,,,water
Chenopodium glaucum,herb,seed,,"""   ""","""   """,wind,water,foliage as,,wind
Chenopodium pusillum,herb,seed,,"""   ""","""   """,wind,water,fruit,,wind
Chionochloa acicularis,herb,floret,Wind . See Spence,,,wind,,,,wind
Chionochloa antarctica,herb,floret,"""   """,,,wind,,,,wind
Chionochloa australis,herb,floret,"""   """,,,wind,,,,wind
Chionochloa beddiei,herb,floret,"""   """,,,wind,,,,wind
Chionochloa bromoides,herb,floret,"""   """,,,wind,,,,wind
Chionochloa cheesemanii,herb,floret,"""   """,,,wind,,,,wind
Chionochloa conspicua,herb,floret,"""   """,,,wind,,,,wind
Chionochloa crassiuscula,herb,floret,"""   """,,,wind,,,,wind
Chionochloa defracta,herb,floret,"""   """,,,wind,,,,wind
Chionochloa flavescens,herb,floret,"""   """,,,wind,,,,wind
Chionochloa flavicans,herb,floret,"""   """,,,wind,,,,wind
Chionochloa juncea,herb,floret,"""   """,,,wind,,,,wind
Chionochloa lanea,herb,floret,"""   """,,,wind,,,,wind
Chionochloa macra,herb,floret,"""   """,,,wind,,,,wind
Chionochloa nivifera,herb,floret,"""   """,,,wind,,,,wind
Chionochloa oreophila,herb,floret,"""   """,,,wind,,,,wind
Chionochloa ovata,herb,floret,"""   """,,,wind,,,,wind
Chionochloa pallens,herb,floret,"""   """,,,wind,,,,wind
Chionochloa rigida,herb,floret,"""   """,,,wind,,,,wind
Chionochloa rubra,herb,floret,"""   """,,,wind,,,,wind
Chionochloa spiralis,herb,floret,"""   """,,,wind,,,,wind
Chionochloa teretifolia,herb,floret,"""   """,,,wind,,,,wind
Chionochloa vireta,herb,floret,"""   """,,,wind,,,,wind
Chionohebe glabra,herb,seed,,1993,,ballistic,wind,water,,ballistic
Chionohebe myosotoides,herb,seed,,"""   """,,ballistic,wind,water,,ballistic
Chionohebe pulvinaris,herb,seed,,"""   """,,ballistic,wind,water,,ballistic
Chionohebe thomsonii,herb,seed,,"""   """,,ballistic,wind,water,,ballistic
Christella dentata,fern,spore,minute,"""   """,,wind,,,,wind
Christella dentata,fern,spore,minute,"""   """,,wind,,,,wind
Clematis afoliata,vine,achene,pappate,,,wind,,,,wind
Clematis cunninghamii,vine,achene,pappate,"""   ""","""   """,wind,,,,wind
Clematis foetida,vine,achene,pappate,"""   ""","""   """,wind,,,,wind
Clematis forsteri,vine,achene,pappate,"""   ""","""   """,wind,,,,wind
Clematis marata,vine,achene,pappate,"""   ""","""   """,wind,,,,wind
Clematis marmoraria,vine,achene,pappate,"""   ""","""   """,wind,,,,wind
Clematis paniculata,vine,achene,pappate,"""   ""","""   """,wind,,,,wind
Clematis petriei,vine,achene,pappate,"""   ""","""   """,wind,,,,wind
Clematis quadribracteolata,vine,achene,pappate,"""   ""","""   """,wind,,,,wind
Clianthus maximus,shrub,seed,,"by wind , seed long-lived",,wind,capsule,,,wind
Clianthus puniceus,shrub,seed,,"""   """,,wind,capsule,,,wind
Colensoa physaloides,shrub,berry,fleshy,"seed small, testa reticulate",,frugivory,invertebrate,,,endo
Collospermum hastatum,herb,berry,fleshy,. Aril mucilaginous . Adhesion,,frugivory,attachment,,,endo
Collospermum microspermum,herb,berry,fleshy,"""   """,,frugivory,attachment,,,endo
Colobanthus  ,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus  ,herb,seed,winged,wings much reduced. See Sneddon . Seed held,water ,wind,ballistic,water,,wind
Colobanthus  ,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus  ,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus acicularis,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus affinis,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus apetalus,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus brevisepalus,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus buchananii,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus canaliculatus,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus hookeri,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus monticola,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus muelleri,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus muscoides,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus squarrosus,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus strictus,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Colobanthus wallii,herb,seed,winged,"""   ""","""   """,wind,ballistic,water,,wind
Convolvulus fractosaxosa,vine,capsule,,,,wind,water,,,wind
Convolvulus verecundus,vine,capsule,,"""   ""","""   """,wind,water,,,wind
Convolvulus waitaha,vine,capsule,,"""   ""","""   """,wind,water,,,wind
Coprosma  ,shrub,drupe,fleshy,. See,Benson and McDougall,frugivory,,,,endo
Coprosma  ,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
Coprosma acerosa,shrub,drupe,fleshy,"""   ""","""   """,frugivory,,,,endo
