sp,mode,distance,remark,citation
Arenaria serpyllifolia,wind,0.03 / 0.13,Calculated median and 99-percentile,Soons & Ozinga 2005
Bellis perennis,wind,0.02 / 0.09,Calculated median and 99-percentile,Soons & Ozinga 2005
Campanula rotundifolia,wind,0.07 / 0.35,Calculated median and 99-percentile,Soons & Ozinga 2005
Capsella bursa-pastoris,wind,0.05 / 0.23,Calculated median and 99-percentile,Soons & Ozinga 2005
Cerastium fontanum subsp. vulgare,wind,0.03 / 0.16,Calculated median and 99-percentile,Soons & Ozinga 2005
Cerastium arvense,wind,< 1,Maximum,Stöcklin & Bäumler 1996
Cerastium pedunculatum,wind,< 1,Maximum,Stöcklin & Bäumler 1996
Eranthis hiemalis,wind,0.32 / 1.23,Median and maximum in natural wind,Emig et al. 1999
Gentiana germanica,wind,1.2,Maximum,Verkaar et al. 1983
Linaria alpina,wind,12*,Maximum,Stöcklin & Bäumler 1998
Linum catharticum,wind,0.02 / 0.13,Calculated median and 99-percentile,Soons & Ozinga 2005
Linum catharticum,wind,0.41 / 0.63,Maximum in dense vegetation or open micro-sites,Verkaar et al. 1983
Primula veris,wind,0.03 / 0.12,Calculated median and 99-percentile,Soons & Ozinga 2005
Sagina saginoides,wind,10*,Maximum,Stöcklin & Bäumler 1996
Saxifraga sp.,wind,40*,Maximum,Stöcklin & Bäumler 1996
Saxifraga tridactylites,wind,0.02 / 0.11,Calculated median and 99-percentile,Soons & Ozinga 2005
Sempervivum sp.,wind,< 1,Maximum,Stöcklin & Bäumler 1996
Silene rupestris,wind,10*,Maximum,Stöcklin & Bäumler 1996
Aquilegia vulgaris,wind,0.07 / 0.41,Calculated median and 99-percentile,Soons & Ozinga 2005
Campanula trachelium,wind,0.25 / 1.45,Calculated median and 99-percentile,Soons & Ozinga 2005
Daucus carotta,wind,0.15 / 0.93,Calculated median and 99-percentile,Soons & Ozinga 2005
Oenothera biennis,wind,0.15 / 0.98,Calculated median and 99-percentile,Soons & Ozinga 2005
Oenothera biennis,wind,1.6 / 5,Mode an maximum,Platt & Weis 1977 in Willson 1993
Papaver argemone,wind,0.6 / 3.1,Mode an maximum,Salisbury 1942 in Willson 1993
Papaver dubium,wind,0.9 / 2.1,Mode an maximum,Salisbury 1942 in Willson 1993
Papaver rhoeas,wind,0.1 / 0.5,Calculated median and 99-percentile,Soons & Ozinga 2005
Papaver somniferum,wind,2,Maximum with limited wind,Müller-Schneider 1983
Rhododendron ferrugineum,wind,25*,Maximum,Stöcklin & Bäumler 1996
Silene pratensis,wind,0.1 / 0.57,Calculated median and 99-percentile,Soons & Ozinga 2005
Verbascum thapsus,wind,0.15 / 0.87,Calculated median and 99-percentile,Soons & Ozinga 2005
Eranthis hiemalis,water,0.4,Maximum,Müller-Schneider 1936 in Müller-Schneider 1983
